vn;dtprel;dtreg;dtconf;dtini;dtfine;mp;prova;laboratorio;code
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
463;03/01/2013;03/01/2013;03/01/2013;03/01/2013;05/01/2013;MP 01/181 rev. 0;Esame batteriologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;463MP 01/181 rev. 0
463;03/01/2013;03/01/2013;03/01/2013;03/01/2013;16/01/2013;MP 01/181 rev. 0;Esame batteriologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;463MP 01/181 rev. 0
872;03/01/2013;03/01/2013;03/01/2013;03/01/2013;03/01/2013;MP 06/003 rev. 0;Esame parassitologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;872MP 06/003 rev. 0
2626;31/12/2012;04/01/2013;04/01/2013;08/01/2013;08/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2981;03/01/2013;07/01/2013;04/01/2013;08/01/2013;08/01/2013;MP 04/002 ovcap rev. 4;Brucella abortus/melitensis: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;2981MP 04/002 ovcap rev. 4
2981;02/01/2013;07/01/2013;04/01/2013;08/01/2013;08/01/2013;MP 04/002 ovcap rev. 4;Brucella abortus/melitensis: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;2981MP 04/002 ovcap rev. 4
2227;07/01/2013;07/01/2013;07/01/2013;07/01/2013;07/01/2013;MP 04/025 rev. 4;Brucella abortus: anticorpi nel latte;Sezione di Bergamo - Laboratorio Sierologia;2227MP 04/025 rev. 4
2344;07/01/2013;07/01/2013;07/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;Sezione di Bergamo - Laboratorio Sierologia;2344MP 04/032 rev. 4
2227;31/12/2012;07/01/2013;02/01/2013;07/01/2013;07/01/2013;MP 04/025 rev. 4;Brucella abortus: anticorpi nel latte;Sezione di Bergamo - Laboratorio Sierologia;2227MP 04/025 rev. 4
2344;31/12/2012;07/01/2013;02/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;Sezione di Bergamo - Laboratorio Sierologia;2344MP 04/032 rev. 4
463;07/01/2013;07/01/2013;07/01/2013;08/01/2013;12/01/2013;MP 01/181 rev. 0;Esame batteriologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;463MP 01/181 rev. 0
463;07/01/2013;07/01/2013;07/01/2013;07/01/2013;09/01/2013;MP 01/181 rev. 0;Esame batteriologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;463MP 01/181 rev. 0
122;07/01/2013;07/01/2013;07/01/2013;09/01/2013;10/01/2013;MP 01/068 rev. 0;Antibiogramma;Sezione di Bergamo - Laboratorio Diagnostica Generale;122MP 01/068 rev. 0
463;07/01/2013;07/01/2013;07/01/2013;07/01/2013;10/01/2013;MP 01/181 rev. 0;Esame batteriologico;Sezione di Bergamo - Laboratorio Diagnostica Generale;463MP 01/181 rev. 0
1103;02/01/2013;02/01/2013;02/01/2013;02/01/2013;07/01/2013;MP 01/119 rev. 0;Esame batteriologico latte (ricerca Stafilococco coagulasi +);Sezione di Bergamo - Laboratorio Diagnostica Generale;1103MP 01/119 rev. 0
1103;02/01/2013;02/01/2013;02/01/2013;02/01/2013;07/01/2013;MP 01/119 rev. 0;Esame batteriologico latte (ricerca Stafilococco coagulasi +);Sezione di Bergamo - Laboratorio Diagnostica Generale;1103MP 01/119 rev. 0
661;31/12/2012;02/01/2013;02/01/2013;02/01/2013;05/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;31/12/2012;02/01/2013;02/01/2013;02/01/2013;03/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;31/12/2012;02/01/2013;02/01/2013;02/01/2013;05/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;31/12/2012;02/01/2013;02/01/2013;02/01/2013;03/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;28/12/2012;02/01/2013;02/01/2013;02/01/2013;05/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;28/12/2012;02/01/2013;02/01/2013;02/01/2013;03/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
925;30/12/2012;02/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;02/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;02/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;02/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;02/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
925;30/12/2012;03/01/2013;02/01/2013;20/03/2013;20/03/2013;MP 04/051 rev. 0;Pestivirus (PSC-BVDV-BDV): anticorpi;Sezione di Bergamo - Laboratorio Sierologia;925MP 04/051 rev. 0
2628;03/01/2013;03/01/2013;03/01/2013;04/01/2013;04/01/2013;Non codificato;Esame anatomopatologico animali di taglia medio-grande;Sezione di Bergamo - Laboratorio Diagnostica Generale;2628Non codificato
1103;03/01/2013;03/01/2013;03/01/2013;03/01/2013;07/01/2013;MP 01/119 rev. 0;Esame batteriologico latte (ricerca Stafilococco coagulasi +);Sezione di Bergamo - Laboratorio Diagnostica Generale;1103MP 01/119 rev. 0
661;02/01/2013;04/01/2013;04/01/2013;07/01/2013;10/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;02/01/2013;04/01/2013;04/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;02/01/2013;04/01/2013;04/01/2013;07/01/2013;10/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;02/01/2013;04/01/2013;04/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;03/01/2013;04/01/2013;04/01/2013;07/01/2013;10/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;03/01/2013;04/01/2013;04/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;02/01/2013;04/01/2013;04/01/2013;07/01/2013;10/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
208;02/01/2013;04/01/2013;04/01/2013;07/01/2013;08/01/2013;MP 04/032 rev. 4;BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus;Sezione di Bergamo - Laboratorio Sierologia;208MP 04/032 rev. 4
661;03/01/2013;04/01/2013;04/01/2013;07/01/2013;10/01/2013;MP 04/004 rev. 4;Leucosi Bovina Enzootica: anticorpi;Sezione di Bergamo - Laboratorio Sierologia;661MP 04/004 rev. 4
122;07/01/2013;07/01/2013;07/01/2013;10/01/2013;11/01/2013;MP 01/068 rev. 0;Antibiogramma;Sezione di Bergamo - Laboratorio Diagnostica Generale;122MP 01/068 rev. 0
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;28/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;29/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;28/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;28/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;24/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;04/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;04/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;03/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;03/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;04/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;31/12/2012;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;02/01/2013;04/01/2013;04/01/2013;04/01/2013;04/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;04/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;04/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
2938;07/01/2013;08/01/2013;08/01/2013;08/01/2013;08/01/2013;MP 06/001 rev. 5;Trichinella (suidi mac.industriale);Sezione di Bergamo - Laboratorio Diagnostica Generale;2938MP 06/001 rev. 5
