Numero di conferimento;Materiale;Specie;Prova - Singola;Tecnica;Nr. di esami programmati;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso
28127;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28135;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28143;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;5;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28152;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28159;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;26/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28169;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;28/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28173;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;;26/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28180;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;26/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
28185;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;26/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
30941;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;04/02/2008 00.00.00;06/02/2008 00.00.00;06/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
30945;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;04/02/2008 00.00.00;06/02/2008 00.00.00;06/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
30948;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;04/02/2008 00.00.00;06/02/2008 00.00.00;06/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28079;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
34172;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;07/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34227;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34284;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34288;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;07/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34291;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;07/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34295;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
34300;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;11/02/2008 00.00.00;11/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
87107;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;30/03/2008 00.00.00;07/04/2008 00.00.00;07/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
36930;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36953;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36959;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;12/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
87113;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;07/04/2008 00.00.00;07/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
87115;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;07/04/2008 00.00.00;07/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
87118;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;07/04/2008 00.00.00;07/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
87131;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;07/04/2008 00.00.00;07/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
35282;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;4;11/02/2008 00.00.00;12/02/2008 00.00.00;12/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;20/02/2008 00.00.00
90720;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90730;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;03/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
61389;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
61399;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
90738;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90805;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90850;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;07/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90864;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;29/03/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
61406;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
61409;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
90908;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;07/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
61410;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63845;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
90920;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90925;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;04/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
90961;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;04/04/2008 00.00.00;09/04/2008 00.00.00;09/04/2008 00.00.00;21/04/2008 00.00.00;22/04/2008 00.00.00;22/04/2008 00.00.00;24/04/2008 00.00.00
63852;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63867;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63903;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63906;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;07/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63926;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63927;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
85972;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/04/2008 00.00.00;04/04/2008 00.00.00;04/04/2008 00.00.00;11/04/2008 00.00.00;15/04/2008 00.00.00;15/04/2008 00.00.00;16/04/2008 00.00.00
36749;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;07/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36868;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36873;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36875;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;05/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36876;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;05/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36885;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;05/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36892;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36897;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;11/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36900;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
36905;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;08/02/2008 00.00.00;13/02/2008 00.00.00;13/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
63933;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;06/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
63947;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;05/03/2008 00.00.00;12/03/2008 00.00.00;12/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
69091;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;13/03/2008 00.00.00;18/03/2008 00.00.00;18/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
14116;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;14/01/2008 00.00.00;18/01/2008 00.00.00;18/01/2008 00.00.00;23/01/2008 00.00.00;25/01/2008 00.00.00;25/01/2008 00.00.00;28/01/2008 00.00.00
918;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;21/12/2007 00.00.00;02/01/2008 00.00.00;02/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
69115;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;13/03/2008 00.00.00;18/03/2008 00.00.00;18/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
69072;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;13/03/2008 00.00.00;18/03/2008 00.00.00;18/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
69081;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;13/03/2008 00.00.00;18/03/2008 00.00.00;18/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
141044;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;30/05/2008 00.00.00;04/06/2008 00.00.00;04/06/2008 00.00.00;11/06/2008 00.00.00;12/06/2008 00.00.00;12/06/2008 00.00.00;13/06/2008 00.00.00
142029;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;4;03/06/2008 00.00.00;05/06/2008 00.00.00;05/06/2008 00.00.00;11/06/2008 00.00.00;12/06/2008 00.00.00;12/06/2008 00.00.00;13/06/2008 00.00.00
245990;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;02/10/2008 00.00.00;06/10/2008 00.00.00;06/10/2008 00.00.00;10/10/2008 00.00.00;14/10/2008 00.00.00;14/10/2008 00.00.00;17/10/2008 00.00.00
3325;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;02/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
3330;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;10;03/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
3339;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;03/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
3342;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;04/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
3348;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;03/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
3351;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;04/01/2008 00.00.00;04/01/2008 00.00.00;07/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
142035;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;03/06/2008 00.00.00;05/06/2008 00.00.00;05/06/2008 00.00.00;11/06/2008 00.00.00;12/06/2008 00.00.00;12/06/2008 00.00.00;13/06/2008 00.00.00
68427;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;10/03/2008 00.00.00;17/03/2008 00.00.00;17/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
68436;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;10/03/2008 00.00.00;17/03/2008 00.00.00;17/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
68445;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;07/03/2008 00.00.00;17/03/2008 00.00.00;17/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
68453;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;10/03/2008 00.00.00;17/03/2008 00.00.00;17/03/2008 00.00.00;04/04/2008 00.00.00;08/04/2008 00.00.00;08/04/2008 00.00.00;09/04/2008 00.00.00
25268;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;93;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
25277;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
25275;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;08/02/2008 00.00.00
25304;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
25297;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;9;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
25318;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;19;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
25335;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;29/01/2008 00.00.00;30/01/2008 00.00.00;30/01/2008 00.00.00;;05/02/2008 00.00.00;05/02/2008 00.00.00;05/02/2008 00.00.00
